,model_test_RMSE,model_train_RMSE,original_budget_RMSE,split
0,443838.62041895377,140836.022231673,511970.9490099012,12-14 to predict 15
1,515879.33045662777,139622.64446204816,526290.1411411536,13-15 to predict 16
